,numberFire,,Ranks,,Passing,,,,Rushing,,,Receiving,,,
Player,FP,CI,Ovr.,Pos.,C/A,Yds,TDs,Ints,Att,Yds,TDs,Rec,Tgt,Yds,TDs
"Zay Flowers Z. Flowers(WR, BAL)",99.22,"77.92 - 120.52",#123,#47,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,59.55,93.59,718.06,4.69
"Michael Gallup M. Gallup(WR, DAL)",99.19,"77.89 - 120.49",#124,#48,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,55.56,99.28,659.33,5.51
"Marquez Valdes-Scantling M. Valdes-Scantling(WR, KC)",99.16,"77.87 - 120.45",#125,#49,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,44.35,83.79,708.14,4.75
"Rondale Moore R. Moore(WR, ARI)",99.10,"77.81 - 120.39",#126,#50,"0.00 / 0.00",0.00,0.00,0.00,4.58,26.93,0.18,72.88,109.69,776.08,3.22
"Dallas Goedert D. Goedert(TE, PHI)",98.82,"77.56 - 120.08",#127,#6,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,63.66,92.92,724.46,4.50
"Kadarius Toney K. Toney(WR, KC)",98.26,"77.05 - 119.47",#128,#51,"0.00 / 0.00",0.00,0.00,0.00,8.37,48.26,0.57,55.25,83.79,631.49,4.59
"Rashaad Penny R. Penny(RB, PHI)",97.88,"76.38 - 119.38",#129,#40,"0.00 / 0.00",0.00,0.00,0.00,140.53,670.29,4.35,5.77,7.97,39.92,0.18
"Darren Waller D. Waller(TE, NYG)",97.03,"75.92 - 118.14",#130,#7,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,67.24,100.13,727.98,4.10
"Kenneth Gainwell K. Gainwell(RB, PHI)",96.80,"75.39 - 118.21",#131,#41,"0.00 / 0.00",0.00,0.00,0.00,106.07,475.98,4.06,28.35,39.81,196.88,1.10
"Tyler Allgeier T. Allgeier(RB, ATL)",94.38,"73.15 - 115.61",#132,#42,"0.00 / 0.00",0.00,0.00,0.00,128.34,592.64,3.67,13.67,19.38,91.17,0.64
